sub_id,type,congruency,mean_rt,pc
1.0,b,cong_per_cong_resp,764.674519146,0.888888888889
2.0,b,cong_per_cong_resp,828.023263828,0.861111111111
3.0,b,cong_per_cong_resp,847.559201372,0.972222222222
4.0,b,cong_per_cong_resp,803.685465531,0.944444444444
5.0,b,cong_per_cong_resp,684.582166274,0.944444444444
6.0,b,cong_per_cong_resp,850.372655086,0.833333333333
7.0,b,cong_per_cong_resp,644.293231309,0.944444444444
8.0,b,cong_per_cong_resp,836.359257313,0.972222222222
9.0,b,cong_per_cong_resp,690.073129632,0.805555555556
10.0,b,cong_per_cong_resp,832.146628395,0.944444444444
11.0,b,cong_per_cong_resp,711.803439722,0.972222222222
12.0,b,cong_per_cong_resp,672.27545195,0.861111111111
13.0,b,cong_per_cong_resp,669.595085326,0.972222222222
14.0,b,cong_per_cong_resp,567.120088008,0.916666666667
15.0,b,cong_per_cong_resp,833.919768851,0.916666666667
16.0,b,cong_per_cong_resp,779.472719786,0.944444444444
17.0,b,cong_per_cong_resp,952.218597105,0.944444444444
18.0,b,cong_per_cong_resp,774.807198117,0.972222222222
1.0,b,incong_per_cong_resp,708.155089668,0.805555555556
2.0,b,incong_per_cong_resp,722.650377904,0.833333333333
3.0,b,incong_per_cong_resp,850.915332067,0.944444444444
4.0,b,incong_per_cong_resp,713.880668301,1.0
5.0,b,incong_per_cong_resp,700.384930962,0.861111111111
6.0,b,incong_per_cong_resp,847.818585954,0.777777777778
7.0,b,incong_per_cong_resp,611.632475723,0.861111111111
8.0,b,incong_per_cong_resp,758.64517974,1.0
9.0,b,incong_per_cong_resp,752.910542654,0.805555555556
10.0,b,incong_per_cong_resp,836.645976297,0.861111111111
11.0,b,incong_per_cong_resp,705.796291393,0.916666666667
12.0,b,incong_per_cong_resp,673.604436185,0.861111111111
13.0,b,incong_per_cong_resp,682.077366373,0.972222222222
14.0,b,incong_per_cong_resp,583.873102265,0.944444444444
15.0,b,incong_per_cong_resp,798.021778279,1.0
16.0,b,incong_per_cong_resp,750.446922393,0.944444444444
17.0,b,incong_per_cong_resp,923.513210872,0.888888888889
18.0,b,incong_per_cong_resp,709.277395244,0.944444444444
